year,key_skills_str,count
2022,"Грамотная речь, Пользователь ПК",804
2022,"Пользователь ПК, Работа в команде, Ремонт ноутбуков, Диагностика, Опытный пользователь ПК, Ремонт, Установка ОС, Ремонт компьютеров, Навыки продаж",769
2022,Металлообработка,701
2022,Точность и внимательность к деталям,656
2022,Пользователь ПК,606
2022,Умение работать в команде,530
2022,чтение чертежей,504
2022,Ответственность,500
2022,Java,449
2022,"Грамотная речь, Пользователь ПК, Работа в команде, Грамотность, Работа с большим объемом информации, MS Excel",448
2022,Английский язык,433
2022,"Ответственность, Клиентоориентированность",423
2022,Техническое обслуживание,398
2022,"Вахта, Официальное трудоустройство, Спецодежда, Авансирование, Токарь",363
2022,SQL,361
2023,"Работа в команде, Грамотная речь, Клиентоориентированность, Деловое общение, Пользователь ПК",5834
2023,"Грамотная речь, Пользователь ПК",2116
2023,"Грамотная речь, Пользователь ПК, Работа в команде, Грамотность, Работа с большим объемом информации, MS Excel",1258
2023,"Работа в команде, Клиентоориентированность, Ориентация на клиента, Клиентский сервис, Удаленная работа, Пользователь ПК, Грамотная устная и письменная речь",1255
2023,1С программирование,1061
2023,"Пользователь ПК, Грамотная речь",705
2023,"Настройка ПК, Настройка ПО, Настройка сетевых подключений, Техническое обслуживание, Системы видеонаблюдения, Установка и настройка ПО, Сборка ПК, Ремонт ПК, Информационные технологии, Офисная техника",630
2023,SQL,507
2023,Информационная безопасность,469
2023,"Консультирование, Консультирование клиентов, Консультирование клиентов по телефону, Телефонные переговоры, Пользователь ПК, Деловое общение, Деловая переписка, Прием и распределение телефонных звонков, Клиентоориентированность, Работа в команде, Грамотная речь, Работа с большим объемом информации, Техническая поддержка, Коммуникабельность, Коммуникативные навыки, Стрессоустойчивость",419
2023,Java,395
2023,"Работа с большим объемом информации, MS Excel",372
2023,"Консультирование клиентов по телефону, входящие звонки, Работа в команде, Способность быстро обучаться, Общение с клиентами, Грамотная речь, Консультирование, Работа с жалобами клиентов",358
2023,Python,354
2023,C++,336
2023,"Разработка компьютерных Игр, Minecraft, Roblox, Программирование для детей, Преподаватель, Преподавание, Обучение",308
2023,Linux,289
2023,Пользователь ПК,283
2023,"Настройка ПК, Ремонт ПК, Системы видеонаблюдения, Настройка сетевых подключений, Техническое обслуживание, Установка и настройка ПО, Офисная техника, Информационные технологии, Установка ПО",272
2023,Работа в команде,266
